station,signal_type,address,tag,signal_name,device,comment
cpu,DI,X0,Z_Home_Sensor,Z轴原点传感器,Z轴伺服原点开关 B16,P35/EFS1/16.7
cpu,DI,X1,X1_Home_Sensor,X1轴原点传感器,X1轴伺服原点开关 B16,P35/EFS1/16.2
cpu,DI,X2,X2_Home_Sensor,X2轴原点传感器,X2轴伺服原点开关 B22,P36/EFS1/16.C
cpu,DI,X3,Z_Limit_Fwd,Z轴正向限位,Z轴限位开关 B17,P35/EFS1/16.4
cpu,DI,X4,Z_Limit_Rev,Z轴反向限位,Z轴限位开关 B18,P35/EFS1/16.5
cpu,DI,X5,X1_Limit_Fwd,X1轴正向限位,X1轴限位开关 B19,P35/EFS1/16.8
cpu,DI,X6,X1_Limit_Rev,X1轴反向限位,X1轴限位开关 B20,P35/EFS1/16.9
cpu,DI,X7,X2_Limit_Fwd,X2轴正向限位,X2轴限位开关 B21,P36/EFS1/17.4
cpu,DI,X10,X2_Limit_Rev,X2轴反向限位,X2轴限位开关 B24,P36/EFS1/17.5
cpu,DI,X11,Z_Servo_ALM,Z轴伺服故障报警,SV0驱动器 ALM输出,P43/EFS1/27.8
cpu,DI,X12,X1_Servo_ALM,X1轴伺服故障报警,SV1驱动器 ALM输出,P45/EFS1/29.8
cpu,DI,X13,X2_Servo_ALM,X2轴伺服故障报警,SV2驱动器 ALM输出,P47/EFS1/31.8
cpu,DI,X14,Rear_Door_Lock,后安全门锁定状态,安全门锁 SL2 S11/S12,P40/EFS1/24.7; 源程序用途: 变频器1异常检测
cpu,DI,X15,Front_Door_Lock,前安全门锁定状态,安全门锁 SL1 S21/S22,P39/EFS1/23.7; 源程序用途: 变频器2异常检测
cpu,DI,X16,E_Stop_Button,操作台急停按钮,施耐德 XB2BS542C,P103/C0&EFS1/1.6; 源程序用途: 变频器3异常检测
cpu,DI,X17,Reset_Button,操作台复位按钮,施耐德 XB2BA61C,P103/C0&EFS1/1.7; 源程序用途: 变频器4异常检测
cpu,DI,X76,GlueMachineAllowFeed,打胶机允许送料,打胶机,硬接线交互
cpu,DI,X102,GlueMachineTakeComplete,打胶机取料完成,打胶机,硬接线交互
cpu,DI,X77,HMI_Stop_Button,HMI STOP按钮,源程序定义,触摸屏内部; EPLAN未独立列出
cpu,DI,X100,Physical_Reset_Button,物理复位按钮,源程序定义,EPLAN未独立列出
cpu,DI,X101,Physical_EStop,急停按钮(冗余),源程序定义,EPLAN未独立列出
cpu,DO,Y0,Z_Axis_Pulse,Z轴脉冲输出(PULSE+),SV0 CN2-PULSE+,P44/EFS1/28.8; 高速脉冲
cpu,DO,Y1,X1_Axis_Pulse,X1轴脉冲输出(PULSE+),SV1 CN2-PULSE+,P46/EFS1/30.8; 高速脉冲
cpu,DO,Y2,X2_Axis_Pulse,X2轴脉冲输出(PULSE+),SV2 CN2-PULSE+,P48/EFS1/32.8; 高速脉冲
cpu,DO,Y4,Z_Axis_Dir,Z轴方向控制(SIGN+),SV0 CN2-SIGN+,P44/EFS1/28.8
cpu,DO,Y5,X1_Axis_Dir,X1轴方向控制(SIGN+),SV1 CN2-SIGN+,P46/EFS1/30.8
cpu,DO,Y6,X2_Axis_Dir,X2轴方向控制(SIGN+),SV2 CN2-SIGN+,P48/EFS1/32.8
cpu,DO,Y10,Z_Servo_EN,Z轴伺服励磁(SON),SV0 SON→DI5 via KA10,P43/EFS1/27.1
cpu,DO,Y11,X1_Servo_EN,X1轴伺服励磁(SON),SV1 SON→DI5 via KA11,P45/EFS1/29.1
cpu,DO,Y12,X2_Servo_EN,X2轴伺服励磁(SON),SV2 SON→DI5 via KA12,P47/EFS1/31.1
cpu,DO,Y13,Safety_Relay_Start,安全继电器启动,SR0 S33/S34→13-14→KA1,P38/EFS1/21.9
cpu,DO,Y44,AllowGripper,允许打胶机抓料,打胶机,硬接线交互
cpu,DO,Y47,SafetyZoneSignal,打胶机安全区信号,打胶机,硬接线交互
cpu,DO,Y24,Green_Light,绿灯(运行指示),源程序定义,自动运行中 AND 无故障
cpu,DO,Y25,Red_Light,红灯(故障指示),源程序定义,任何故障
cpu,DO,Y26,Yellow_Light,黄灯(等待/暂停),源程序定义,暂停 或 等待 或 回原点中
cpu,DO,Y27,Buzzer,蜂鸣器,源程序定义,新报警发生时脉冲输出
cpu,DO,Y50,Reset_Button_Light,复位按钮指示灯,源程序定义,复位按钮状态反馈; 016 §3.1 标注为打胶机请求运行(语义冲突待复核)
cpu,DO,Y51,GlueMachine_Reset_Req,打胶机复位请求,源程序定义,硬接线交互
di_ext_1,DI,DI1:X10,Left_Door1_Status,左侧门1状态,安全门开关 SQ1,P37/EFS1/20.1
di_ext_1,DI,DI1:X11,Left_Door2_Status,左侧门2状态,安全门开关 SQ2,P37/EFS1/20.3
di_ext_1,DI,DI1:X12,Right_Door1_Status,右侧门1状态,安全门开关 SQ3,P37/EFS1/20.6
di_ext_1,DI,DI1:X13,Right_Door2_Status,右侧门2状态,安全门开关 SQ4,P37/EFS1/20.8
di_ext_3,DI,DI3:X0,L4_PreFeed_Sensor,4层分料前感应器,4层分料,P25/EFS1/6.3
di_ext_3,DI,DI3:X1,Front_Door_Lock_B5,前安全门锁定状态(冗余),安全系统,P25/EFS1/6.2
di_ext_3,DI,DI3:X2,L4_InPlace_Sensor1,4层到位感应器1,4层分料,P25/EFS1/6.4
di_ext_3,DI,DI3:X3,L4_InPlace_Sensor2,4层到位感应器2,4层分料,P25/EFS1/6.5
di_ext_3,DI,DI3:X4,L4_Block_Cyl_Up,4层阻挡气缸上位,4层分料,P25/EFS1/6.6
di_ext_3,DI,DI3:X5,L4_Block_Cyl_Dn,4层阻挡气缸下位,4层分料,P25/EFS1/6.7
di_ext_3,DI,DI3:X6,L4_Feed_Cyl_Up,4层分料气缸上位,4层分料,P25/EFS1/6.8
di_ext_3,DI,DI3:X7,L4_Feed_Cyl_Dn,4层分料气缸下位,4层分料,P25/EFS1/6.9
di_ext_3,DI,DI3:X10,L3_Discharge_Done,3层放料完成感应器,3层分料,P26/EFS1/7.2
di_ext_3,DI,DI3:X11,L3_PreFeed_Sensor,3层分料前感应器,3层分料,P26/EFS1/7.3
di_ext_3,DI,DI3:X12,L3_InPlace_Sensor1,3层到位感应器1,3层分料,P26/EFS1/7.4
di_ext_3,DI,DI3:X13,L3_InPlace_Sensor2,3层到位感应器2,3层分料,P26/EFS1/7.5
di_ext_3,DI,DI3:X14,L3_Block_Cyl_Up,3层阻挡气缸上位,3层分料,P26/EFS1/7.6
di_ext_3,DI,DI3:X15,L3_Block_Cyl_Dn,3层阻挡气缸下位,3层分料,P26/EFS1/7.7
