station,signal_type,address,tag,signal_name,device,comment
cpu,INTERNAL,,_var_begin,_var_begin,Inovance GL20,源表: EIP_IO映射_变量表.csv
cpu,INTERNAL,,X300_,X300_,Inovance GL20,源表: EIP_IO映射_变量表.csv
cpu,INTERNAL,,_var_begin,_var_begin,Inovance GL20,源表: EIP_IO映射_变量表.csv
cpu,INTERNAL,,Y300_,Y300_,Inovance GL20,源表: EIP_IO映射_变量表.csv
cpu,INTERNAL,,Y300_[0],Y300_[0],Inovance GL20,源表: EIP_IO映射_变量表.csv
cpu,INTERNAL,,Y300_[10],Y300_[10],Inovance GL20,源表: EIP_IO映射_变量表.csv
cpu,INTERNAL,,Y300_[11],Y300_[11],Inovance GL20,源表: EIP_IO映射_变量表.csv
cpu,INTERNAL,,Y300_[12],Y300_[12],Inovance GL20,源表: EIP_IO映射_变量表.csv
cpu,INTERNAL,,Y300_[13],Y300_[13],Inovance GL20,源表: EIP_IO映射_变量表.csv
cpu,INTERNAL,,Y300_[14],Y300_[14],Inovance GL20,源表: EIP_IO映射_变量表.csv
cpu,INTERNAL,,Y300_[15],Y300_[15],Inovance GL20,源表: EIP_IO映射_变量表.csv
cpu,INTERNAL,,Y300_[1],Y300_[1],Inovance GL20,源表: EIP_IO映射_变量表.csv
cpu,INTERNAL,,Y300_[2],Y300_[2],Inovance GL20,源表: EIP_IO映射_变量表.csv
cpu,INTERNAL,,Y300_[3],Y300_[3],Inovance GL20,源表: EIP_IO映射_变量表.csv
cpu,INTERNAL,,Y300_[4],Y300_[4],Inovance GL20,源表: EIP_IO映射_变量表.csv
cpu,INTERNAL,,Y300_[5],Y300_[5],Inovance GL20,源表: EIP_IO映射_变量表.csv
cpu,INTERNAL,,Y300_[6],Y300_[6],Inovance GL20,源表: EIP_IO映射_变量表.csv
cpu,INTERNAL,,Y300_[7],Y300_[7],Inovance GL20,源表: EIP_IO映射_变量表.csv
cpu,INTERNAL,,Y300_[8],Y300_[8],Inovance GL20,源表: EIP_IO映射_变量表.csv
cpu,INTERNAL,,Y300_[9],Y300_[9],Inovance GL20,源表: EIP_IO映射_变量表.csv
cpu,INTERNAL,,_var_begin,_var_begin,Inovance GL20,源表: EIP_IO映射_变量表.csv
cpu,INTERNAL,,X340_,X340_,Inovance GL20,源表: EIP_IO映射_变量表.csv
cpu,INTERNAL,,X340_[0],X340_[0],Inovance GL20,源表: EIP_IO映射_变量表.csv
cpu,INTERNAL,,X340_[10],X340_[10],Inovance GL20,源表: EIP_IO映射_变量表.csv
cpu,INTERNAL,,X340_[11],X340_[11],Inovance GL20,源表: EIP_IO映射_变量表.csv
cpu,INTERNAL,,X340_[12],X340_[12],Inovance GL20,源表: EIP_IO映射_变量表.csv
cpu,INTERNAL,,X340_[13],X340_[13],Inovance GL20,源表: EIP_IO映射_变量表.csv
cpu,INTERNAL,,X340_[14],X340_[14],Inovance GL20,源表: EIP_IO映射_变量表.csv
cpu,INTERNAL,,X340_[15],X340_[15],Inovance GL20,源表: EIP_IO映射_变量表.csv
cpu,INTERNAL,,X340_[16],X340_[16],Inovance GL20,源表: EIP_IO映射_变量表.csv
cpu,INTERNAL,,X340_[17],X340_[17],Inovance GL20,源表: EIP_IO映射_变量表.csv
cpu,INTERNAL,,X340_[18],X340_[18],Inovance GL20,源表: EIP_IO映射_变量表.csv
cpu,INTERNAL,,X340_[19],X340_[19],Inovance GL20,源表: EIP_IO映射_变量表.csv
cpu,INTERNAL,,X340_[1],X340_[1],Inovance GL20,源表: EIP_IO映射_变量表.csv
