序号,类型,变量名,数据类型,默认值,初始值,所属模块,注释
1,IN,i_WorkstationReady0,BOOL,OFF,OFF,工作站监控,工作站0准备好信号
2,IN,i_WorkstationReady1,BOOL,OFF,OFF,工作站监控,工作站1准备好信号
3,IN,i_WorkstationReady2,BOOL,OFF,OFF,工作站监控,工作站2准备好信号
4,IN,i_WorkstationReady3,BOOL,OFF,OFF,工作站监控,工作站3准备好信号
5,IN,i_WorkstationReady4,BOOL,OFF,OFF,工作站监控,工作站4准备好信号
6,IN,i_WorkstationReady5,BOOL,OFF,OFF,工作站监控,工作站5准备好信号
7,IN,i_WorkstationReady6,BOOL,OFF,OFF,工作站监控,工作站6准备好信号
8,IN,i_WorkstationReady7,BOOL,OFF,OFF,工作站监控,工作站7准备好信号
9,IN,i_WorkstationRunning0,BOOL,OFF,OFF,工作站监控,工作站0运行信号
10,IN,i_WorkstationRunning1,BOOL,OFF,OFF,工作站监控,工作站1运行信号
11,IN,i_WorkstationRunning2,BOOL,OFF,OFF,工作站监控,工作站2运行信号
12,IN,i_WorkstationRunning3,BOOL,OFF,OFF,工作站监控,工作站3运行信号
13,IN,i_WorkstationRunning4,BOOL,OFF,OFF,工作站监控,工作站4运行信号
14,IN,i_WorkstationRunning5,BOOL,OFF,OFF,工作站监控,工作站5运行信号
15,IN,i_WorkstationRunning6,BOOL,OFF,OFF,工作站监控,工作站6运行信号
16,IN,i_WorkstationRunning7,BOOL,OFF,OFF,工作站监控,工作站7运行信号
17,IN,i_WorkstationError0,BOOL,OFF,OFF,工作站监控,工作站0错误信号
18,IN,i_WorkstationError1,BOOL,OFF,OFF,工作站监控,工作站1错误信号
19,IN,i_WorkstationError2,BOOL,OFF,OFF,工作站监控,工作站2错误信号
20,IN,i_WorkstationError3,BOOL,OFF,OFF,工作站监控,工作站3错误信号
21,IN,i_WorkstationError4,BOOL,OFF,OFF,工作站监控,工作站4错误信号
22,IN,i_WorkstationError5,BOOL,OFF,OFF,工作站监控,工作站5错误信号
23,IN,i_WorkstationError6,BOOL,OFF,OFF,工作站监控,工作站6错误信号
24,IN,i_WorkstationError7,BOOL,OFF,OFF,工作站监控,工作站7错误信号
25,IN,i_WorkstationCycleComplete0,BOOL,OFF,OFF,工作站监控,工作站0循环完成信号
26,IN,i_WorkstationCycleComplete1,BOOL,OFF,OFF,工作站监控,工作站1循环完成信号
27,IN,i_WorkstationCycleComplete2,BOOL,OFF,OFF,工作站监控,工作站2循环完成信号
28,IN,i_WorkstationCycleComplete3,BOOL,OFF,OFF,工作站监控,工作站3循环完成信号
29,IN,i_WorkstationCycleComplete4,BOOL,OFF,OFF,工作站监控,工作站4循环完成信号
30,IN,i_WorkstationCycleComplete5,BOOL,OFF,OFF,工作站监控,工作站5循环完成信号
31,IN,i_WorkstationCycleComplete6,BOOL,OFF,OFF,工作站监控,工作站6循环完成信号
32,IN,i_WorkstationCycleComplete7,BOOL,OFF,OFF,工作站监控,工作站7循环完成信号
33,IN,i_WorkstationStart0,BOOL,OFF,OFF,工作站控制,工作站0启动信号
34,IN,i_WorkstationStart1,BOOL,OFF,OFF,工作站控制,工作站1启动信号
35,IN,i_WorkstationStart2,BOOL,OFF,OFF,工作站控制,工作站2启动信号
36,IN,i_WorkstationStart3,BOOL,OFF,OFF,工作站控制,工作站3启动信号
37,IN,i_WorkstationStart4,BOOL,OFF,OFF,工作站控制,工作站4启动信号
38,IN,i_WorkstationStart5,BOOL,OFF,OFF,工作站控制,工作站5启动信号
39,IN,i_WorkstationStart6,BOOL,OFF,OFF,工作站控制,工作站6启动信号
40,IN,i_WorkstationStart7,BOOL,OFF,OFF,工作站控制,工作站7启动信号
41,IN,i_WorkstationStop0,BOOL,OFF,OFF,工作站控制,工作站0停止信号
42,IN,i_WorkstationStop1,BOOL,OFF,OFF,工作站控制,工作站1停止信号
43,IN,i_WorkstationStop2,BOOL,OFF,OFF,工作站控制,工作站2停止信号
44,IN,i_WorkstationStop3,BOOL,OFF,OFF,工作站控制,工作站3停止信号
45,IN,i_WorkstationStop4,BOOL,OFF,OFF,工作站控制,工作站4停止信号
46,IN,i_WorkstationStop5,BOOL,OFF,OFF,工作站控制,工作站5停止信号
47,IN,i_WorkstationStop6,BOOL,OFF,OFF,工作站控制,工作站6停止信号
48,IN,i_WorkstationStop7,BOOL,OFF,OFF,工作站控制,工作站7停止信号
49,IN,i_WorkstationParam0,REAL,0.0,0.0,工作站控制,工作站0参数设置
50,IN,i_WorkstationParam1,REAL,0.0,0.0,工作站控制,工作站1参数设置
51,IN,i_WorkstationParam2,REAL,0.0,0.0,工作站控制,工作站2参数设置
52,IN,i_WorkstationParam3,REAL,0.0,0.0,工作站控制,工作站3参数设置
53,IN,i_WorkstationParam4,REAL,0.0,0.0,工作站控制,工作站4参数设置
54,IN,i_WorkstationParam5,REAL,0.0,0.0,工作站控制,工作站5参数设置
55,IN,i_WorkstationParam6,REAL,0.0,0.0,工作站控制,工作站6参数设置
56,IN,i_WorkstationParam7,REAL,0.0,0.0,工作站控制,工作站7参数设置
57,IN,i_WorkstationParamChanged0,BOOL,OFF,OFF,工作站控制,工作站0参数变更信号
58,IN,i_WorkstationParamChanged1,BOOL,OFF,OFF,工作站控制,工作站1参数变更信号
59,IN,i_WorkstationParamChanged2,BOOL,OFF,OFF,工作站控制,工作站2参数变更信号
60,IN,i_WorkstationParamChanged3,BOOL,OFF,OFF,工作站控制,工作站3参数变更信号
61,IN,i_WorkstationParamChanged4,BOOL,OFF,OFF,工作站控制,工作站4参数变更信号
62,IN,i_WorkstationParamChanged5,BOOL,OFF,OFF,工作站控制,工作站5参数变更信号
63,IN,i_WorkstationParamChanged6,BOOL,OFF,OFF,工作站控制,工作站6参数变更信号
64,IN,i_WorkstationParamChanged7,BOOL,OFF,OFF,工作站控制,工作站7参数变更信号
65,IN,i_MESConnect,BOOL,OFF,OFF,外部通讯,MES系统连接信号
66,IN,i_ERPConnect,BOOL,OFF,OFF,外部通讯,ERP系统连接信号
67,IN,i_HMIConnect,BOOL,OFF,OFF,外部通讯,HMI系统连接信号
68,IN,i_StartProduction,BOOL,OFF,OFF,状态机,开始生产信号
69,IN,i_ResetProduction,BOOL,OFF,OFF,状态机,重置生产信号
70,IN,i_Reset,BOOL,OFF,OFF,报警处理,系统复位信号
71,IN,i_TestMode,INT,0,0,测试功能,测试模式选择
72,OUT,q_SystemReady,BOOL,ON,ON,初始化,系统准备好信号
73,OUT,q_WorkstationStart0,BOOL,OFF,OFF,工作站控制,工作站0启动控制信号
74,OUT,q_WorkstationStart1,BOOL,OFF,OFF,工作站控制,工作站1启动控制信号
75,OUT,q_WorkstationStart2,BOOL,OFF,OFF,工作站控制,工作站2启动控制信号
76,OUT,q_WorkstationStart3,BOOL,OFF,OFF,工作站控制,工作站3启动控制信号
77,OUT,q_WorkstationStart4,BOOL,OFF,OFF,工作站控制,工作站4启动控制信号
78,OUT,q_WorkstationStart5,BOOL,OFF,OFF,工作站控制,工作站5启动控制信号
79,OUT,q_WorkstationStart6,BOOL,OFF,OFF,工作站控制,工作站6启动控制信号
80,OUT,q_WorkstationStart7,BOOL,OFF,OFF,工作站控制,工作站7启动控制信号
81,OUT,q_WorkstationParam0,REAL,0.0,0.0,工作站控制,工作站0参数输出
82,OUT,q_WorkstationParam1,REAL,0.0,0.0,工作站控制,工作站1参数输出
83,OUT,q_WorkstationParam2,REAL,0.0,0.0,工作站控制,工作站2参数输出
84,OUT,q_WorkstationParam3,REAL,0.0,0.0,工作站控制,工作站3参数输出
85,OUT,q_WorkstationParam4,REAL,0.0,0.0,工作站控制,工作站4参数输出
