序号,类别,名称,数据类型,隐藏初始值,初始值,掉电保持,注释,
1,IN,i_WSManualStart,BOOL,OFF,OFF,不保持,工作站手动启动信号，上升沿触发,
2,IN,i_WSManualStop,BOOL,OFF,OFF,不保持,工作站手动停止信号，上升沿触发,
3,IN,i_WSAutoStart,BOOL,OFF,OFF,不保持,工作站自动启动信号，上升沿触发,
4,IN,i_WSAutoStop,BOOL,OFF,OFF,不保持,工作站自动停止信号，上升沿触发,
5,IN,i_WSAlarm,BOOL,OFF,OFF,不保持,工作站报警信号，高电平有效,
6,IN,i_WSReset,BOOL,OFF,OFF,不保持,工作站复位信号，上升沿触发,
7,IN,i_WSMasterCommand,INT,0,0,不保持,主控命令：0=无命令,1=启动,2=急停,3=暂停,4=初始化,
8,IN,i_WSMasterCommandEnable,BOOL,OFF,OFF,不保持,主控命令使能信号，上升沿触发,
9,IN,i_WSControlParams,INT,0,0,不保持,控制参数：运行模式(0=自动,1=手动,2=半自动),
10,IN,i_WSParamUpdate,BOOL,OFF,OFF,不保持,参数更新标志，上升沿触发,
11,OUT,q_WSOutput,BOOL,OFF,OFF,不保持,工作站控制输出信号，高电平有效,
12,OUT,q_WSAlarmStatus,BOOL,OFF,OFF,不保持,工作站报警状态输出，高电平有效,
13,OUT,q_WSStatusWord,DWORD,0,0,不保持,工作站状态字，位0-7表示不同状态,
14,OUT,q_WSCommandStatus,INT,0,0,不保持,命令执行状态：0=空闲,1=执行中,2=执行完成,3=不予执行,
15,OUT,q_WSWorkstationStatus,INT,0,0,不保持,工作站状态：0=待料中,1=堵料中,2=工作中,3=报警中,
16,VAR,tmp_bWSOutput,BOOL,OFF,OFF,不保持,工作站输出状态内部变量,
17,VAR,tmp_bWSAlarmStatus,BOOL,OFF,OFF,不保持,工作站报警状态内部变量,
18,VAR,tmp_nWSStatusWord,DWORD,0,0,不保持,工作站状态字内部变量,
19,VAR,tmp_bWSManualMode,BOOL,OFF,OFF,不保持,工作站手动模式标志,
20,VAR,tmp_bWSAutoMode,BOOL,OFF,OFF,不保持,工作站自动模式标志,
21,VAR,tmp_bWSInitialized,BOOL,OFF,OFF,不保持,工作站初始化标志,
22,VAR,tmp_bWSRunning,BOOL,OFF,OFF,不保持,工作站运行状态标志,
23,VAR,tmp_bWSReady,BOOL,OFF,OFF,不保持,工作站就绪状态标志,
24,VAR,tmp_nWSCommandStatus,INT,0,0,不保持,命令执行状态内部变量,
25,VAR,tmp_nWSWorkstationStatus,INT,0,0,不保持,工作站状态内部变量,
26,VAR,tmp_nWSControlParams,INT,0,0,不保持,控制参数内部变量,
27,VAR,tmp_bWSCommandExecuting,BOOL,OFF,OFF,不保持,命令执行中标志,
28,VAR,tmp_prev_WSManualStart,BOOL,OFF,OFF,不保持,tmp_prev_WSManualStart,
29,VAR,tmp_prev_WSManualStop,BOOL,OFF,OFF,不保持,tmp_prev_WSManualStop,
30,VAR,tmp_prev_WSAutoStart,BOOL,OFF,OFF,不保持,tmp_prev_WSAutoStart,
31,VAR,tmp_prev_WSAutoStop,BOOL,OFF,OFF,不保持,tmp_prev_WSAutoStop,
32,VAR,tmp_prev_WSReset,BOOL,OFF,OFF,不保持,tmp_prev_WSReset,
33,VAR,tmp_prev_WSMasterCommandEnable,BOOL,OFF,OFF,不保持,tmp_prev_WSMasterCommandEnable,
34,VAR,tmp_prev_WSParamUpdate,BOOL,OFF,OFF,不保持,tmp_prev_WSParamUpdate,
