序号,类别,名称,数据类型,隐藏初始值,初始值,掉电保持,注释,
1,IN,i_ForwardSensor,BOOL,OFF,OFF,不保持,动点传感器,
2,IN,i_BackwardSensor,BOOL,OFF,OFF,不保持,原点传感器,
3,IN,i_ForwardCommand,BOOL,OFF,OFF,不保持,气缸开始到动点,
4,IN,i_BackwardCommand,BOOL,OFF,OFF,不保持,气缸开始到原点,
5,IN,i_ForwardSensorMask,BOOL,OFF,OFF,不保持,屏蔽动点,
6,IN,i_BackwardSensorMask,BOOL,OFF,OFF,不保持,屏蔽原点,
7,IN,i_Reset,BOOL,OFF,OFF,不保持,复位,
8,OUT,q_ForwardCoil,BOOL,OFF,OFF,不保持,气缸动点线圈（控制气缸阀信号）,
9,OUT,q_BackwardCoil,BOOL,OFF,OFF,不保持,气缸原点线圈（控制气缸阀信号）,
10,OUT,q_ForwardPosition,BOOL,OFF,OFF,不保持,气缸动点到位,
11,OUT,q_BackwardPosition,BOOL,OFF,OFF,不保持,气缸原点到位,
12,OUT,q_ForwardAlarm,BOOL,OFF,OFF,不保持,动点异常,
13,OUT,q_BackwardAlarm,BOOL,OFF,OFF,不保持,原点异常,
14,VAR,n_State,INT,0,0,不保持,状态机状态：0-初始化，1-原点状态，2-动点状态，3-报警状态,
15,VAR,In_tTimer1,BOOL[10],OFF,OFF,不保持,计时器1输入数组,
,,In_tTimer1[0],BOOL,,OFF,,动点到位延迟计时器输入,
,,In_tTimer1[1],BOOL,,OFF,,原点到位延迟计时器输入,
,,In_tTimer1[2],BOOL,,OFF,,计时器1输入2,
,,In_tTimer1[3],BOOL,,OFF,,计时器1输入3,
,,In_tTimer1[4],BOOL,,OFF,,计时器1输入4,
,,In_tTimer1[5],BOOL,,OFF,,动点超时报警计时器输入,
,,In_tTimer1[6],BOOL,,OFF,,原点超时报警计时器输入,
,,In_tTimer1[7],BOOL,,OFF,,计时器1输入7,
,,In_tTimer1[8],BOOL,,OFF,,计时器1输入8,
,,In_tTimer1[9],BOOL,,OFF,,计时器1输入9,
16,VAR,Q_tTimer1,BOOL[10],OFF,OFF,不保持,计时器1输出数组,
,,Q_tTimer1[0],BOOL,,OFF,,动点到位延迟计时器输出,
,,Q_tTimer1[1],BOOL,,OFF,,原点到位延迟计时器输出,
,,Q_tTimer1[2],BOOL,,OFF,,计时器1输出2,
,,Q_tTimer1[3],BOOL,,OFF,,计时器1输出3,
,,Q_tTimer1[4],BOOL,,OFF,,计时器1输出4,
,,Q_tTimer1[5],BOOL,,OFF,,动点超时报警计时器输出,
,,Q_tTimer1[6],BOOL,,OFF,,原点超时报警计时器输出,
,,Q_tTimer1[7],BOOL,,OFF,,计时器1输出7,
,,Q_tTimer1[8],BOOL,,OFF,,计时器1输出8,
,,Q_tTimer1[9],BOOL,,OFF,,计时器1输出9,
17,VAR,R_tTimer1,BOOL[10],OFF,OFF,不保持,计时器1复位数组,
,,R_tTimer1[0],BOOL,,OFF,,动点到位延迟计时器复位,
,,R_tTimer1[1],BOOL,,OFF,,原点到位延迟计时器复位,
,,R_tTimer1[2],BOOL,,OFF,,计时器1复位2,
,,R_tTimer1[3],BOOL,,OFF,,计时器1复位3,
,,R_tTimer1[4],BOOL,,OFF,,计时器1复位4,
,,R_tTimer1[5],BOOL,,OFF,,动点超时报警计时器复位,
,,R_tTimer1[6],BOOL,,OFF,,原点超时报警计时器复位,
,,R_tTimer1[7],BOOL,,OFF,,计时器1复位7,
,,R_tTimer1[8],BOOL,,OFF,,计时器1复位8,
,,R_tTimer1[9],BOOL,,OFF,,计时器1复位9,
18,VAR,PT_tTimer1,DINT[10],0,0,不保持,计时器1预设值数组,
,,PT_tTimer1[0],DINT,,10,,动点到位延迟时间（10ms）,
,,PT_tTimer1[1],DINT,,100,,原点到位延迟时间（100ms）,
,,PT_tTimer1[2],DINT,,0,,计时器1预设值2,
,,PT_tTimer1[3],DINT,,10,,计时器1预设值3,
,,PT_tTimer1[4],DINT,,100,,计时器1预设值4,
,,PT_tTimer1[5],DINT,,3000,,动点超时报警时间（3s）,
,,PT_tTimer1[6],DINT,,3000,,原点超时报警时间（3s）,
,,PT_tTimer1[7],DINT,,0,,计时器1预设值7,
,,PT_tTimer1[8],DINT,,0,,计时器1预设值8,
,,PT_tTimer1[9],DINT,,0,,计时器1预设值9,
19,VAR,ET_tTimer1,DINT[10],0,0,不保持,计时器1当前值数组,
,,ET_tTimer1[0],DINT,,0,,动点到位延迟计时器当前值,
,,ET_tTimer1[1],DINT,,0,,原点到位延迟计时器当前值,
,,ET_tTimer1[2],DINT,,0,,计时器1当前值2,
,,ET_tTimer1[3],DINT,,0,,计时器1当前值3,
,,ET_tTimer1[4],DINT,,0,,计时器1当前值4,
,,ET_tTimer1[5],DINT,,0,,动点超时报警计时器当前值,
,,ET_tTimer1[6],DINT,,0,,原点超时报警计时器当前值,
,,ET_tTimer1[7],DINT,,0,,计时器1当前值7,
,,ET_tTimer1[8],DINT,,0,,计时器1当前值8,
,,ET_tTimer1[9],DINT,,0,,计时器1当前值9,
20,VAR,tmp_bForwardPosition,BOOL,OFF,OFF,不保持,动点到位内部状态,
21,VAR,tmp_bBackwardPosition,BOOL,OFF,OFF,不保持,原点到位内部状态,
22,VAR,tmp_bForwardAlarm,BOOL,OFF,OFF,不保持,动点异常内部状态,
23,VAR,tmp_bBackwardAlarm,BOOL,OFF,OFF,不保持,原点异常内部状态,\r\n
