序号,类别,名称,数据类型,隐藏初始值,初始值,掉电保持,注释,
1,IN,i_UpstreamRequest,BOOL,OFF,OFF,不保持,上游请求信号，为ON时表示上游系统请求操作,
2,IN,i_DownstreamRequest,BOOL,OFF,OFF,不保持,下游请求信号，为ON时表示下游系统请求操作,
3,IN,i_LocalAllow,BOOL,OFF,OFF,不保持,本站允许信号，为ON时表示本站允许操作,
4,IN,i_UpstreamTransferring,BOOL,OFF,OFF,不保持,上游产品转移中信号，为ON时表示上游正在转移产品,
5,IN,i_DownstreamTransferring,BOOL,OFF,OFF,不保持,下游产品转移中信号，为ON时表示下游正在转移产品,
6,IN,i_Reset,BOOL,OFF,OFF,不保持,复位按钮信号，为ON时清除所有错误状态,
7,IN,i_Alarm,BOOL,OFF,OFF,不保持,报警信号，为ON时表示系统发生报警,
8,OUT,q_UpstreamRequestAck,BOOL,OFF,OFF,不保持,上游请求确认，为ON时表示确认收到上游请求,
9,OUT,q_DownstreamRequestAck,BOOL,OFF,OFF,不保持,下游请求确认，为ON时表示确认收到下游请求,
10,OUT,q_LocalAllowStatus,BOOL,OFF,OFF,不保持,本站允许状态，为ON时表示本站允许操作,
11,OUT,q_LocalReceiveComplete,BOOL,OFF,OFF,不保持,本站接收完成，为ON时表示本站已完成产品接收,
12,OUT,q_LocalSendComplete,BOOL,OFF,OFF,不保持,本站发送完成，为ON时表示本站已完成产品发送,
13,OUT,q_StatusWord,INT,0,0,不保持,状态字，位0:上游请求, 位1:下游请求, 位2:本站允许, 位3:上游转移中, 位4:下游转移中, 位5:接收完成, 位6:发送完成, 位7:错误状态,
14,VAR,tmp_bUpstreamRequest,BOOL,OFF,OFF,不保持,上游请求内部状态,
15,VAR,tmp_bDownstreamRequest,BOOL,OFF,OFF,不保持,下游请求内部状态,
16,VAR,tmp_bLocalAllow,BOOL,OFF,OFF,不保持,本站允许内部状态,
17,VAR,tmp_bUpstreamTransferring,BOOL,OFF,OFF,不保持,上游转移中内部状态,
18,VAR,tmp_bDownstreamTransferring,BOOL,OFF,OFF,不保持,下游转移中内部状态,
19,VAR,tmp_bReceiveComplete,BOOL,OFF,OFF,不保持,接收完成内部状态,
20,VAR,tmp_bSendComplete,BOOL,OFF,OFF,不保持,发送完成内部状态,
21,VAR,tmp_bError,BOOL,OFF,OFF,不保持,错误状态内部变量,
22,VAR,tmp_nStatusWord,INT,0,0,不保持,状态字内部变量,
23,VAR,In_tTimer1,BOOL[10],OFF,OFF,不保持,计时器1输入数组,
,,In_tTimer1[0],BOOL,OFF,OFF,不保持,计时器1输入数组元素0,
,,In_tTimer1[1],BOOL,OFF,OFF,不保持,计时器1输入数组元素1,
,,In_tTimer1[2],BOOL,OFF,OFF,不保持,计时器1输入数组元素2,
,,In_tTimer1[3],BOOL,OFF,OFF,不保持,计时器1输入数组元素3,
,,In_tTimer1[4],BOOL,OFF,OFF,不保持,计时器1输入数组元素4,
,,In_tTimer1[5],BOOL,OFF,OFF,不保持,计时器1输入数组元素5,
,,In_tTimer1[6],BOOL,OFF,OFF,不保持,计时器1输入数组元素6,
,,In_tTimer1[7],BOOL,OFF,OFF,不保持,计时器1输入数组元素7,
,,In_tTimer1[8],BOOL,OFF,OFF,不保持,计时器1输入数组元素8,
