序号,类别,名称,数据类型,隐藏初始值,初始值,掉电保持,注释,
1,IN,i_动点传感器,BOOL,OFF,OFF,不保持,动点传感器信号,
2,IN,i_原点传感器,BOOL,OFF,OFF,不保持,原点传感器信号,
3,IN,i_气缸_S1,BOOL,OFF,OFF,不保持,气缸动点控制信号,
4,IN,i_气缸_S0,BOOL,OFF,OFF,不保持,气缸原点控制信号,
5,IN,i_屏蔽动点,BOOL,OFF,OFF,不保持,屏蔽动点传感器,
6,IN,i_屏蔽原点,BOOL,OFF,OFF,不保持,屏蔽原点传感器,
7,IN,i_复位,BOOL,OFF,OFF,不保持,复位信号,
8,IN,i_动点原点工作取反,BOOL,OFF,OFF,不保持,动点原点工作取反,
9,OUT,q_气缸动点动作,BOOL,OFF,OFF,不保持,气缸动点动作（控制气缸阀信号）,
10,OUT,q_气缸动点到位,BOOL,OFF,OFF,不保持,气缸动点到位状态,
11,OUT,q_气缸原点到位,BOOL,OFF,OFF,不保持,气缸原点到位状态,
12,OUT,q_动点异常,BOOL,OFF,OFF,不保持,动点异常报警,
13,OUT,q_原点异常,BOOL,OFF,OFF,不保持,原点异常报警,
14,VAR,原点到位延时,DINT[2],0,0,不保持,原点到位延时数组,
,,原点到位延时[0],DINT,,0,,,
,,原点到位延时[1],DINT,,0,,,
15,VAR,动点到位延时,DINT[2],0,0,不保持,动点到位延时数组,
,,动点到位延时[0],DINT,,0,,,
,,动点到位延时[1],DINT,,0,,,
16,VAR,报警延时,DINT,0,3000,不保持,报警延时时间,
17,VAR,M_0,BOOL[10],OFF,OFF,不保持,中间变量M0[0-9],
,,M_0[0],BOOL,,OFF,,,
,,M_0[1],BOOL,,OFF,,,
,,M_0[2],BOOL,,OFF,,,
,,M_0[3],BOOL,,OFF,,,
,,M_0[4],BOOL,,OFF,,,
,,M_0[5],BOOL,,OFF,,,
,,M_0[6],BOOL,,OFF,,,
,,M_0[7],BOOL,,OFF,,,
,,M_0[8],BOOL,,OFF,,,
,,M_0[9],BOOL,,OFF,,,
18,VAR,T_0,BOOL[10],OFF,OFF,不保持,定时器T0[0-9]（用于TONR的IN输入）,
,,T_0[0],BOOL,,OFF,,,
,,T_0[1],BOOL,,OFF,,,
,,T_0[2],BOOL,,OFF,,,
,,T_0[3],BOOL,,OFF,,,
,,T_0[4],BOOL,,OFF,,,
,,T_0[5],BOOL,,OFF,,,
,,T_0[6],BOOL,,OFF,,,
,,T_0[7],BOOL,,OFF,,,
,,T_0[8],BOOL,,OFF,,,
,,T_0[9],BOOL,,OFF,,,
19,VAR,MW_0,DINT[10],0,0,不保持,内部DINT变量0（统一用于所有定时器ET输出）,
,,MW_0[0],DINT,,0,,,
,,MW_0[1],DINT,,0,,,
,,MW_0[2],DINT,,0,,,
,,MW_0[3],DINT,,0,,,
,,MW_0[4],DINT,,0,,,
,,MW_0[5],DINT,,0,,,
,,MW_0[6],DINT,,0,,,
,,MW_0[7],DINT,,0,,,
,,MW_0[8],DINT,,0,,,
,,MW_0[9],DINT,,0,,,
20,VAR,n_State,INT,0,0,不保持,状态机状态变量（0-初始化，1-原点状态，2-动点状态，3-报警状态）,
